index,ok,track_id,url,duration_str,duration,title,score,view_count,genre,num_mixes,genre_counts
1429,,ONf3WPxNWeY,https://youtu.be/ONf3WPxNWeY,4:47,287,Mark Knight & Funkagenda - Man With The Red Face (Hardwell Remix)  - OUT NOW!,0.0002,"856,210",Progressive House,3,"[('Progressive House', 2.5), ('House', 0.5)]"
1430,,4TYTt2IKD4Y,https://youtu.be/4TYTt2IKD4Y,7:47,467,Jay Lumen & Gary Beck - Strange Fruit (Original Mix),0.0002,"838,464",Tech House,3,"[('Tech House', 1.83), ('Techno', 0.5), ('House', 0.33), ('Progressive House', 0.33)]"
1431,,SBXiFQpYzno,https://youtu.be/SBXiFQpYzno,5:46,346,CamelPhat - Make 'Em Dance (Original Mix) [Suara],0.0002,"834,422",House,3,"[('House', 3.0)]"
1432,,RLHlGcvHYMY,https://youtu.be/RLHlGcvHYMY,7:44,464,Dennis Ferrer featuring Janelle Kroll 'Mind Ur Step' (Original Mix),0.0002,"833,862",Deep House,3,"[('Deep House', 1.0), ('House', 0.75), ('Tech House', 0.5), ('Vocal House', 0.25), ('Funk', 0.25), ('Pop', 0.25)]"
1433,,NDesnOyWzL0,https://youtu.be/NDesnOyWzL0,3:42,222,Cassius - Cassius 1999 (Radio Edit),0.0002,"833,001",House,3,"[('House', 2.0), ('Trance', 0.5)]"
1434,,gSD9WyXE-VY,https://youtu.be/gSD9WyXE-VY,6:38,398,Ruben Mandolini - Also! (2015 Rework) [Snatch! Records],0.0002,"826,485",House,3,"[('House', 2.0), ('Tech House', 1.0)]"
1435,,CrMczah2jaM,https://youtu.be/CrMczah2jaM,5:09,309,Steve Angello & Third Party - Lights (Original Mix) [Full Version HD],0.0002,"822,041",Progressive House,3,"[('Progressive House', 2.0), ('House', 1.0)]"
1436,,0rMAr1JsKHc,https://youtu.be/0rMAr1JsKHc,7:31,451,DJ Le Roi feat. Roland Clark - I Get Deep (Late Nite Tuff Guy Remix - Emanuel Satie Rework),0.0002,"818,942",Techno,3,"[('Techno', 2.5), ('Tech House', 0.5)]"
1437,,4XfVsu-av14,https://youtu.be/4XfVsu-av14,4:57,297,Bassjackers & Kenneth G - Rampage [OUT NOW!],0.0002,"803,512",Progressive House,3,"[('Progressive House', 3.0)]"
1438,,V47cwJrkUrw,https://youtu.be/V47cwJrkUrw,7:26,446,Mark Fanciulli - The Tide (Joris Voorn Edit) HQ,0.0002,"801,823",House,3,"[('House', 1.75), ('Tech House', 0.5), ('Disco', 0.25), ('Funk', 0.25), ('Hip House', 0.25)]"
1439,,omb4cjyZRM0,https://youtu.be/omb4cjyZRM0,5:38,338,Hardwell feat. Jay Sean - Thinking About You (Hardwell & KAAZE Festival Mix),0.0002,"800,183",Progressive House,3,"[('Progressive House', 3.0)]"
1440,,zOKZU6ytzjY,https://youtu.be/zOKZU6ytzjY,7:29,449,Slam - Clap Your Hands,0.0002,"795,391",House,3,"[('House', 1.5), ('Techno', 0.5), ('Tech House', 0.5), ('Disco', 0.5)]"
1441,,h0tzBpYnEdc,https://youtu.be/h0tzBpYnEdc,6:49,409,Cleric - 2nd Limit [CRG003],0.0002,"788,725",Techno,3,"[('Techno', 2.0), ('Tech House', 1.0)]"
1442,,qzJ9PfuqkIQ,https://youtu.be/qzJ9PfuqkIQ,6:05,365,Omar S - The Shit Baby (CP-1 Played By D.Taylor),0.0002,"787,934",House,3,"[('House', 1.5), ('Deep House', 1.0), ('Disco', 0.5)]"
1443,,jW_lTY9yk0c,https://youtu.be/jW_lTY9yk0c,5:59,359,Tiësto & Swanky Tunes - Make Some Noise ft. Ben McInerney (Dyro Remix) [Official Audio],0.0002,"778,566",Progressive House,3,"[('Progressive House', 2.0), ('Trance', 0.5)]"
